id,X,Y
b_bv,26.067200, 53.055576
b_bw,26.067075, 53.055057
b_end_east,26.066863, 53.054150
b_end_west,26.066643, 53.053260
b_g,26.066447, 53.052395
b_gy2,26.066057, 53.050579
b_o,26.065867, 53.049717
b_rc,26.065667, 53.048804
b_rd,26.065528, 53.048268
b_rd_dupe,26.066605,53.048566
b_rh,26.066424, 53.047828
b_rs,26.066810, 53.049459
b_rt,26.067005, 53.050309
b_tt_1,26.068241, 53.049976
b_tt_2,26.068094,53.049094
b_tt_2_dupe,26.067930, 53.048198
b_tt_3,26.070762,  53.050261
b_tt_3_dupe,1006,1206
b_v,26.068764, 53.048871
b_w,26.069022, 53.049770
